home_team,away_team,weather,neutral_ground,result
Оренбург,Факел,cloudy,0,home_team
Химки,Ахмат,clear,0,draw
Фенербахче,Рейнджерс,clear,0,away_team
Динамо Махачкала,Крылья Советов,cloudy,0,home_team
ФКСБ,Лион,clear,0,away_team
Реал Сосьедад,Манчестер Юнайтед,rain,0,draw
Локомотив,Динамо,clear,0,home_team
Лацио,Виктория Пльзень,clear,0,draw
Виктория Пльзень,Лацио,clear,0,away_team
Олимпиакос,Буде-Глимт,clear,0,home_team
Буде-Глимт,Олимпиакос,cloudy,0,home_team
Айнтрахт Ф,Аякс,rain,0,home_team
Аякс,Айнтрахт Ф,clear,0,away_team
Атлетик,Рома,cloudy,0,home_team
Рома,Атлетик,clear,0,home_team
Тоттенхэм,АЗ Алкмар,clear,0,home_team
Пари НН,Краснодар,clear,0,away_team
Райнджерс,Фенербахче,cloudy,0,away_team
Лион,ФКСБ,clear,0,home_team
Локомотив,Ахмат,clear,0,draw
Манчестер Юнайтед,Реал Сосьедад,clear,0,home_team
Черноморец,Арсенал Тула,clear,0,draw
Оренбург,Ростов,clear,0,away_team
Лилль,Боруссия Д,clear,0,away_team
Астон Вилла,Брюгге,cloudy,0,home_team
Факел,Зенит,clear,0,away_team
ЦСКА,Химки,clear,0,home_team
Атлетико,Реал Мадрид,clear,0,away_team
Арсенал,ПСВ,clear,0,draw
Енисей,Родина,clear,0,draw
Алания,Тюмень,clear,0,draw
Урал,Рубин,clear,0,home_team
КАМАЗ,Чайка,clear,0,home_team
Крылья Советов,Акрон,clear,0,away_team
Акрон,Спартак,cloudy,0,away_team
Ростов,Зенит,clear,0,away_team
Рубин,Спартак,clear,0,home_team
ЦСКА,Динамо,rain,0,home_team
Сокол,Нефтехимик,snow,0,away_team
Барселона,Бенфика,cloudy,0,home_team
Ливерпуль,ПСЖ,cloudy,0,away_team
Шинник,СКА Хабаровск,clear,0,away_team
Сочи,Урал,clear,0,home_team
Байер,Бавария,clear,0,away_team
Торпедо,Уфа,snow,0,draw
Балтика,Ротор,cloudy,0,draw
Интер,Фейеноорд,clear,0,home_team
Краснодар,Ахмат,clear,0,away_team
Динамо Махачкала,Локомотив,cloudy,0,away_team
Динамо Махачкала,Локомотив,cloudy,0,draw
Оренбург,Динамо,clear,0,draw
Крылья Советов,Динамо Махачкала,0,away_team
Локомотив,Краснодар,clear,0,away_team
Ростов,Факел,clear,0,home_team
Акмар,Торпедо Миасс,clear,0,home_team
Форте,Кубань Холдинг,clear,0,away_team
Текстильщик,Спартак Кострома,clear,0,away_team
Динамо Владивосток,Сибирь,clear,0,home_team
Космос,Амкал,clear,0,away_team
Волга Ульяновск,Динамо Киров,cloudy,0,home_team
Челябинск,Чертаново,rain,0,home_team
Муром,Химик,clear,0,away_team
Знамя Труда,Ленинградец,clear,0,home_team
Астрахань,Волгарь,hot,0,away_team
Машук-КМВ,Динамо Ставрополь,rain,0,home_team
Орел,Салют,cloudy,0,home_team
Композит,Зенит Пенза,clear,0,home_team
Луки-Энергия,Рязань,cloudy,0,home_team
Урал,Ротор,clear,0,draw
Шинник,Уфа,clear,0,home_team
Алания,Сочи,hot,0,draw
КАМАЗ,Черноморец,clear,0,away_team
Нефтехимик,Енисей,cloudy,0,away_team
Торпедо,Арсенал Тула,cloudy,0,draw
Родина,Сокол,cloudy,0,home_team
Балтика,Тюмень,cloudy,0,home_team
СКА Хабаровск,Чайка,clear,0,home_team
Рубин,Крылья Советов,clear,0,away_team
Оренбург,Локомотив,clear,0,away_team
Факел,Пари НН,hot,0,draw
ЦСКА,Зенит,clear,0,away_team
Краснодар,Ростов,cloudy,0,home_team
Динамо,Ахмат,clear,0,home_team
Акрон,Химки,clear,0,home_team
Динамо Махачкала,Спартак,clear,0,draw
Арсенал Тула,Урал,clear,0,home_team
Торпедо,Балтика,clear,0,home_team
Ювентус,ПСВ,clear,0,home_team
Янг Бойз,Астон Вилла,clear,0,away_team
Бавария,Динамо Загреб,cloudy,0,home_team
Милан,Ливерпуль,cloudy,0,away_team
Спортинг,Лилль,clear,0,home_team
Реал Мадрид,Штутгарт,0,home_team
Зенит,Рубин,cloudy,0,home_team
Акрон,Факел,cloudy,0,home_team
Ростов,Оренбург,cloudy,0,home_team
ЦСКА,Краснодар,clear,0,home_team
Динамо Махачкала,Динамо,clear,0,away_team
Спарта Прага,Ред Булл,clear,0,home_team
Селтик,Слован Б,cloudy,0,home_team
Брюгге,Боруссия Д,clear,0,away_team
Манчестер Сити,Интер,clear,0,draw
ПСЖ,Жирона,cloudy,0,home_team
Химки,Локомотив,clear,0,away_team
Пари НН,Ахмат,clear,0,away_team
Спартак,Крылья Советов,clear,0,home_team
Црвена Звезда,Бенфика,clear,0,away_team
Фейеноорд,Байер,clear,0,away_team
Аталанта,Арсенал,cloudy,0,draw
Брест,Штурм,clear,0,home_team
Монако,Барселона,clear,0,home_team
Уфа,Чайка,cloudy,0,away_team
Ротор,Черноморец,clear,0,away_team
Акрон,Краснодар,cloudy,0,away_team
Зенит,Факел,cloudy,0,home_team
Рубин,ЦСКА,clear,0,draw
